fen,best_move,best_move_san,best_move_eval,next_best,next_best_eval,moving_piece,is_capture,is_check,capture_range
r2q2k1/pp3p1N/3p2p1/4r3/4PP2/1BB4R/PPP3PP/5bK1 w - -,h7g5,Ng5,408,f4e5,271,knight,False,False,
rnbqkb1r/pp2pppp/8/2pN4/3P4/8/PP2PPPP/R1BQKBNR b KQkq -,d8d5,Qxd5,-11,c5d4,266,queen,True,False,3
r2qkb1r/pp1bnpp1/2n1p2p/3pP1B1/8/2NB1N2/PP3PPP/2RQ1RK1 w kq -,c3b5,Nb5,423,g5d2,17,knight,False,False,
r2q2k1/pp3p1N/3p2p1/4r3/4PP2/1BB4R/PPP3PP/5K2 b - -,e5h5,Rh5,179,e5e4,367,rook,False,False,
1r3bk1/1q3ppp/3p4/2n1pPP1/1rP1P2P/8/1B1Q2R1/1R1B3K b - -,b7e4,Qxe4,-566,b4c4,-349,queen,True,False,3
rn2k1nr/pp3ppp/4p3/q1bpP3/N5b1/5N2/PPP2PPP/R1BQKB1R w KQkq -,c2c3,c3,-51,b2b4,-184,pawn,False,False,
r1b3k1/ppq3p1/2n1p1Bp/3p3n/3P3B/5P2/PPQ1NP1b/R4R1K b - -,h5f4,Nf4,10,h5f6,379,knight,False,False,
4rrk1/ppp4p/3p2p1/6q1/2P2P2/1P4Pb/PQ2B2P/R4RK1 b - -,h3f1,Bxf1,-119,g5c5,-18,bishop,True,False,2
5R2/8/8/8/3K4/5p2/5k2/4r3 b - -,f2e2,Ke2,-3476,f2g2,-3373,king,False,False,
8/8/1p1p3p/pPp3p1/P1P2pP1/3P1P1k/4P3/4K3 w - -,e1f2,Kf2,307,e1f1,0,king,False,False,
2r2r1k/p3Q1pp/1p3n2/1N6/8/5P2/Pq3P1P/2R1R1K1 w - -,c1c8,Rxc8,325,b5d6,0,rook,True,False,7
2b3k1/5pbp/pp1p2p1/3Pp3/P3P3/3B1P2/1P1B2PP/1K6 b - -,g7f6,Bf6,37,c8d7,255,bishop,False,False,
r1bqkb1r/ppp2p2/3p1n1p/n3p1p1/P1B1P3/1QPP1N2/1P3PPP/RNB1K2R w KQkq -,c4f7,Bxf7+,101,b3a2,-72,bishop,True,True,3
rnbqkbnr/1pp2ppp/p7/4P3/P1p5/2N5/1P2PPPP/R1BQKBNR b KQkq -,d8d1,Qxd1+,-78,b8c6,39,queen,True,True,7
r3k1nr/pp1b1ppp/2n1p3/q2pP3/N7/3B1N2/PP3bPP/R1BQRK2 w kq -,f1f2,Kxf2,284,c1d2,-3,king,True,False,
5rk1/ppp4p/3p2p1/6P1/2P5/1P4P1/PQ2r2P/R4bK1 w - -,b2d4,Qd4,-118,b2c3,-326,queen,False,False,
r1bqkb1r/pppn1pp1/4pB1p/3p4/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq -,d7f6,Nxf6,13,d8f6,113,knight,True,False,
5rk1/ppp4p/3p2p1/6P1/2PQ4/1P4P1/P3r1bP/R5K1 w - -,a1e1,Re1,-16,d4d1,-166,rook,False,False,
2rq2k1/pp3p1N/3p2p1/4r3/4PP2/1BB4R/PPP3PP/5K2 w - -,f4e5,fxe5,464,c3d4,357,pawn,True,False,
5rk1/ppp4p/3p2p1/6P1/2P5/1P1Q2P1/P3r1bP/R5K1 b - -,g2f3,Bf3,-471,e2b2,-28,bishop,False,False,
rn2kb1r/pp3ppp/5n2/4pN2/4P3/2N5/PP3PPP/R1BqK2R w KQkq -,e1d1,Kxd1,5,c3d1,-148,king,True,False,
8/p7/7k/1p6/1P4p1/P4p2/5P1P/5K2 w - -,h2h3,h3,-3538,f1g1,-3648,pawn,False,False,
r1bq1rk1/1ppp1pp1/5n1p/p7/P2bP2B/2N5/1PP1QPPP/2KR1B1R b - -,d4c3,Bxc3,-19,d4e5,111,bishop,True,False,1
8/p7/7k/1p6/1P4p1/P4p2/5P1P/4K3 b - -,h6h5,Kh5,-4263,h6g5,-3707,king,False,False,
r1bq1rk1/pppnbppp/3p1n2/8/2PpP3/P4N2/1PQ1BPPP/RNB1K2R w KQ -,f3d4,Nxd4,60,b2b4,-204,knight,True,False,
r1rq2k1/1n1bbp1n/p2p2p1/1p1Pp2p/4P3/1P1B3P/P2BNPPN/1R1QR1K1 w - -,b3b4,b4,106,f2f4,0,pawn,False,False,
rnbqk1nr/p3ppbp/2p3p1/1N1P4/2BP4/5N2/PPP2PPP/R1BQK2R b KQkq -,c6b5,cxb5,-31,a7a6,209,pawn,True,False,
Q7/4q3/2pq4/4p3/2PpP1P1/1knP4/7Q/5BK1 w - -,c4c5,c5,129,a8a1,0,pawn,False,False,
4R3/1r6/6kP/6P1/5K2/8/8/8 b - -,b7b4,Rb4+,6,b7d7,549,rook,False,True,
2r2rk1/2q1bppp/pn6/4N3/3Pb3/7P/1P3PP1/R1BQR1K1 w - -,e1e4,Rxe4,107,h3h4,-305,rook,True,False,3
rnbqkb1r/ppp2ppp/3p1n2/4P3/2P5/4P3/PP3PPP/RNBQKBNR b KQkq -,d6e5,dxe5,-22,f6g4,85,pawn,True,False,
8/8/6kP/6P1/1r2RK2/8/8/8 b - -,b4b6,Rb6,4,b4b1,9605,rook,False,False,
r1b3k1/pp4p1/2nqp1Bp/3p4/3P1n1B/5PN1/PPQ2P1K/R4R2 b - -,c6d4,Nxd4,-291,e6e5,0,knight,True,False,
rnb1kb1r/pp2pppp/5n2/q3P3/3N4/2N5/PP3PPP/R1BQKB1R b KQkq -,a5e5,Qxe5+,0,f6d5,370,queen,True,True,4
1r3rk1/5pp1/2p1pn1p/3p4/2PP4/4P1P1/1R3PBP/1R4K1 w - -,b2b8,Rxb8,566,b2b6,28,rook,True,False,6
rnb1kbnr/pppp1ppp/8/4p3/2B1P2q/6P1/PPPP1P1P/RNBQK1NR b KQkq -,h4e4,Qxe4+,-638,h4f6,46,queen,True,True,3
r1b1k2r/pp1n2pp/1qn1p3/3pP3/1b1P4/5NP1/PP1BN2P/R2QKB1R b KQkq -,e8h8,O-O,-142,h8f8,-13,king,False,False,
2kr3r/pppq1p1p/8/2Q1P3/5pb1/2P2N2/P4PPP/R4RK1 w - -,c5a7,Qxa7,169,f3d4,-33,queen,True,False,2
r2q1rk1/ppp2ppp/2nb1n2/6B1/2BP4/2N2b1P/PP3PP1/R2Q1RK1 w - -,d1f3,Qxf3,17,g2f3,-153,queen,True,False,2
rn2kb1r/pp2nppp/4p3/2ppPb2/2PP4/1Q2BN2/Pq2BPPP/RN3RK1 b kq -,b2b3,Qxb3,-7,b2e2,330,queen,True,False,1
r1b1kb1r/pppp1ppp/8/8/4nB2/8/PPP2PPP/RN2KB1R w KQkq -,f4c7,Bxc7,32,f2f3,-75,bishop,True,False,3
2rq2k1/p4p1N/3p2p1/1p2r3/3BPP2/1B5R/PPP3PP/5K2 w - -,h7g5,Ng5,488,c2c3,317,knight,False,False,
2r3k1/1q3p1p/p2R2p1/bp6/6P1/P6P/1PP2QP1/5BK1 b - -,a5c7,Bc7,-190,c8c6,0,bishop,False,False,
8/8/r5kP/6P1/2R2K2/8/8/8 b - -,a6b6,Rb6,17,a6a7,738,rook,False,False,
rnbqk2r/ppp1bppp/3p4/8/2N1n3/8/PPPPQPPP/RNB1KB1R w KQkq -,e2e4,Qxe4,102,b1c3,-22,queen,True,False,2
4rrk1/2p3pp/p3bq2/1pBp4/8/2P2n2/PPB2KPP/R2Q1N2 w - -,g2f3,gxf3,0,c5f8,-145,pawn,True,False,
4rrk1/2p3pp/p3bq2/1pBp4/8/2P2P2/PPB2K1P/R2Q1N2 b - -,f8f7,Rf7,0,f6h4,103,rook,False,False,
r3k1r1/ppp2p2/4b2p/nP6/3bN2B/2p2N2/P3QPqP/3RK2R w Kq -,h1f1,Rf1,0,e4g3,-533,rook,False,False,
r2qkbnr/pp4pp/2N1ppb1/3p4/3P2PP/2N5/PPP2P2/R1BQKB1R b KQkq -,b7c6,bxc6,57,d8b6,249,pawn,True,False,
r1bqkbnr/pp2pppp/2P5/n7/Q1Pp4/5N2/P2PPPPP/RNB1KB1R b KQkq -,a5c6,Nxc6,-14,b7c6,138,knight,True,False,
r1b2rk1/pp4pp/1qn1p3/3pn3/1b1P4/5NP1/PP1BN1BP/R2QK2R w KQ -,d4e5,dxe5,-134,f3e5,-258,pawn,True,False,
r1b2rk1/pp4pp/1qn1p3/3pP3/1b6/5NP1/PP1BN1BP/R2QK2R b KQ -,c6e5,Nxe5,-156,f8f3,37,knight,True,False,
rnbqkb1r/1p3p1p/p4P2/3ppP2/8/2N1B3/PPP2P1P/R2QKB1R b KQkq -,d5d4,d4,0,f8b4,164,pawn,False,False,
Q2r3r/1pp1kp1p/8/1q2P3/5pb1/2P2N2/P4PPP/3R1RK1 w - -,a8a3,Qa3+,205,d1d8,56,queen,False,True,
r1bqkb1r/pppp1ppp/5n2/3n4/3pP3/P4N2/1PP2PPP/R1BQKB1R w KQkq -,e4d5,exd5,-52,e4e5,-292,pawn,True,False,
rnbqk2r/pp3ppp/5n2/1N1Pp1B1/8/8/PP2PbPP/RN1QKB1R w KQkq -,e1f2,Kxf2,0,e1d2,-577,king,True,False,
2r3k1/pn5p/5pp1/4p3/7q/6NP/PP3PP1/R2Q1K2 w - -,d1d5,Qd5+,474,f1g1,37,queen,False,True,
rn1q1r2/ppp1bkpp/3pBn2/8/3PP3/2N5/PPP2PPP/R1BQK2R b KQ -,f7e6,Kxe6,55,f7e8,543,king,True,False,
r2qk2r/pQpbbppp/2n1pn2/6B1/8/2NB4/PPP2PPP/2KR2NR w kq -,g5f6,Bxf6,185,d3b5,84,bishop,True,False,1
rn1q1b1r/ppp5/5nkp/4Bb2/2BPp1pP/8/PPP3P1/RN1Q1RK1 w - -,f1f5,Rxf5,611,h4h5,456,rook,True,False,4
r1b1k2r/pp1n2pp/1qn1p3/3pp3/1b1P1P2/2N2NP1/PP5P/R1BQKB1R w KQkq -,f4e5,fxe5,0,d4e5,-119,pawn,True,False,
r1b2rk1/pp1n2pp/1qn1p3/3pP3/1b1P4/2N2NP1/PP5P/R1BQKB1R w KQ -,c1f4,Bf4,0,a2a3,-160,bishop,False,False,
r2q1rk1/p2bppbp/3p1np1/3N4/Pp1BP3/1B3P2/1PPQ2PP/R3K2R b KQ -,f6d5,Nxd5,12,d7e6,116,knight,True,False,
r1bqk2r/pp3ppp/2nBpn2/3p4/3P4/2P2N2/PP1N1PPP/R2QKB1R b KQkq -,d8d6,Qxd6,57,c6d4,421,queen,True,False,2
3q2k1/p1r2p2/3p2p1/1p2r1N1/3BPP2/1B5R/PPP3PP/5K2 w - -,d4e5,Bxe5,590,b3f7,422,bishop,True,False,1
rnbqk2r/pp2bppp/5B2/3p4/3Q4/2N2N2/PP2PPPP/R3KB1R b KQkq -,e7f6,Bxf6,-9,g7f6,125,bishop,True,False,1
rn1qkb1r/pp1b1ppp/4pn2/3P4/Q2p4/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,a4d4,Qxd4,-4,c3b5,-385,queen,True,False,3
rnbqk2r/pp3ppp/5b2/3Q4/8/2N2N2/PP2PPPP/R3KB1R b KQkq -,f6c3,Bxc3+,-624,e8h8,0,bishop,True,True,3
r3k2r/1p6/p1npp2p/q5p1/8/2b1NPBP/PP3P2/R2QKB1R w KQkq -,b2c3,bxc3,4,e1e2,-498,pawn,True,False,
8/ppr1p1kp/5pp1/2PRp3/1P2P2P/5P2/6PK/8 b - -,b7b6,b6,-152,a7a6,-14,pawn,False,False,
r2k4/2q1bQ2/p1Pp4/2n5/1p3P1r/8/PPP3PP/2KRR3 b - -,h4h8,Rh8,0,h4g4,296,rook,False,False,
1b2r1k1/1b1q1pp1/p4n1p/1pP1n3/8/P1N1P3/2QBBPPP/4RRK1 b - -,b7f3,Bf3,-224,e5f3,-40,bishop,False,False,
r2qk2r/pQpb1ppp/4pb2/1B2n3/8/2N5/PPP2PPP/2KR2NR w kq -,f2f4,f4,176,g1f3,73,pawn,False,False,
r2qkbnr/ppp1pppp/8/3p1b2/3P1B2/2P2NP1/PPn1PP1P/RN1QKB1R w KQkq -,e1d2,Kd2,-301,d1c2,-533,king,False,False,
2kr1b2/1p2npp1/p1n1p1b1/2P1q3/N2p1NP1/4B3/PPP1QP2/2KR3B w - -,f4g6,Nxg6,241,f4d3,84,knight,True,False,
r1br2k1/p1q2pp1/4p1np/2ppP2Q/2n5/2PB1N2/2P2PPP/R1B1R1K1 w - -,c1h6,Bxh6,307,h2h4,199,bishop,True,False,5
r2qk3/ppp2p1p/4b3/nP6/2pb4/2N2N2/PB2QPrP/R3K2R w KQq -,e1a1,O-O-O,207,a1d1,0,king,False,False,
N1bk1b1r/pp3ppp/3p4/8/3nn3/8/PPPP1PPP/RNB1KB1R b KQ -,d4c2,Nxc2+,-27,c8g4,331,knight,True,True,
r1bq1rk1/ppp2p2/3b4/2pnp1BQ/4P3/3P4/PPP2PPP/R4RK1 b - -,d5f4,Nf4,-451,d6e7,-298,knight,False,False,
r2qk2r/1pp2pP1/p1n3p1/8/PbB5/4PQ1P/1p2KP2/R1B4R b kq -,d8d3,Qd3+,-64,b2c1n,406,queen,False,True,
8/5kp1/p2p4/P1pPp1K1/2P1P2P/2P5/8/8 w - -,h4h5,h5,873,g5g4,0,pawn,False,False,
r1bqkbnr/pppp2pp/2n5/4p3/3Pp3/5N2/PPP2PPP/RNBQKB1R w KQkq -,f3e5,Nxe5,12,c1g5,-163,knight,True,False,
6rk/pb5p/1p6/2p1p3/PnP2r2/1P3P2/1Q5P/R3N2K b - -,f4f3,Rxf3,-3479,b4c6,-215,rook,True,False,1
r1bqk2r/pppp1ppp/5n2/1B2n3/1b1PP3/2N5/PPP2PPP/R1BQK2R w KQkq -,d4e5,dxe5,52,e1h1,-87,pawn,True,False,
r1b2r2/ppp1q1k1/2n3N1/5p2/2BPn3/7R/P4PPP/3Q1RK1 b - -,e7f6,Qf6,281,e7d6,453,queen,False,False,
r1bqk2r/pppp1ppp/5n2/1B2P3/1b2P3/2N5/PPP2PPP/R1BQK2R b KQkq -,f6e4,Nxe4,54,a7a6,271,knight,True,False,
r1b2rk1/pp4pp/1qn1p3/3pB3/3P4/2P2NP1/P6P/R2QKB1R b KQ -,c6e5,Nxe5,0,b6b2,161,knight,True,False,
r1b2rk1/pp4pp/4p3/3pN3/3P4/2P3P1/Pq5P/R2QKB1R w KQ -,d1c1,Qc1,0,d1b3,-268,queen,False,False,
r1b2rk1/pp4pp/4p3/3pN3/3P4/2P3P1/Pq5P/R1Q1KB1R b KQ -,b2f2,Qf2+,0,b2b6,430,queen,False,True,
r1b2rk1/pp4pp/4p3/3pN3/3P4/2P3P1/P4q1P/R1QK1B1R b - -,f2f1,Qxf1+,0,c8d7,345,queen,True,True,1
r1b2rk1/pp4pp/4p3/3pN3/3P4/2P3P1/P6P/R1QK1q1R w - -,h1f1,Rxf1,0,d1c2,-606,rook,True,False,2
2r1r3/p4kp1/1pbqRn1p/3P4/B7/7P/P3QPP1/3R2K1 w - -,e6d6,Rxd6,153,a4c6,-11,rook,True,False,1
8/1kp1q2p/1p4p1/5n2/1P2b1N1/1Q3N1P/4rPP1/2R3K1 w - -,g1f1,Kf1,445,g4e5,283,king,False,False,
2r1r3/pb3kp1/1p1qRn1p/3P4/B7/7P/P3QPP1/3R2K1 b - -,e8e7,Re7,-221,f7f8,-60,rook,False,False,
1b2r1k1/3q1pp1/p6p/1pP5/4n3/P3PbN1/2QB1PPP/4RRK1 b - -,e4d2,Nxd2,-240,d7d2,-49,knight,True,False,
r2qk2r/ppp1bp1p/5p2/5b2/3p3N/6P1/PPnQPPBP/R1B2RK1 b kq -,d8d7,Qd7,32,e7b4,364,queen,False,False,
r2qkb1r/pppbnppp/3p4/3Pp1B1/Q3n3/2P2N2/PP3PPP/RN2KB1R w KQkq -,a4e4,Qxe4,206,g5e7,-207,queen,True,False,4
r1bq1b1r/ppp1k1pp/5n2/3p4/3Pn3/3B4/PPP1QPPP/RNB1K2R w KQ -,f2f3,f3,0,c2c4,-243,pawn,False,False,
r1b2rk1/p1b2ppp/3q1n2/3pN3/8/1P2P3/PB3PPP/RN1Q1RK1 b - -,f6g4,Ng4,-230,f8e8,0,knight,False,False,
5k2/8/p2p2Kp/P1pPp3/2P1P3/2P5/8/8 w - -,g6h6,Kxh6,768,g6f6,0,king,True,False,
2r1r1k1/p1pbqpp1/1p3n1B/4p3/3P4/3B3Q/PPP2PPP/R3R1K1 w - -,h3g3,Qg3,228,h3e3,0,queen,False,False,
8/8/8/8/8/1k1K4/4N3/5B2 b - -,b3b4,Kb4,9605,b3a4,20000,king,False,False,
r1rq4/pb3pkp/1p3bp1/3P4/1B3R2/1B3Q2/5PPP/1R4K1 w - -,b4d2,Bd2,488,h2h4,381,bishop,False,False,
r1b2rk1/p1b2ppp/3q4/3pN3/6n1/1P2P3/PB3PPP/RN1Q1RK1 w - -,e5f3,Nf3,-187,d1d4,-304,knight,False,False,
2r1r1k1/p1pbqpp1/1p3n1B/4p3/3P4/3B2Q1/PPP2PPP/R3R1K1 b - -,f6h5,Nh5,217,f6g4,361,knight,False,False,
1b2r1k1/3q1pp1/p6p/1pP5/8/P3PP2/2QnNP1P/4RRK1 w - -,g1g2,Kg2,-52,e2g3,-225,king,False,False,
2r1r1k1/p1pbqpp1/1p5B/4p2n/3P4/3B2Q1/PPP2PPP/R3R1K1 w - -,g3f3,Qf3,231,h6g5,78,queen,False,False,
r1bq1rk1/pp1nbppp/2n1p3/2p1P3/2p5/3P1NP1/PP2QPBP/RNB2RK1 w - -,d3c4,dxc4,48,f1d1,-63,pawn,True,False,
6k1/4Np2/p3nQ2/8/P2P1P1P/3b4/1P4PK/5q2 b - -,g8f8,Kf8,660,g8h7,4637,king,False,False,
4brk1/5p1p/4PRpP/4r3/1pp3P1/8/1PP3BK/5R2 w - -,g2d5,Bd5,646,f1f4,292,bishop,False,False,
5k2/4Np2/p3nQ2/8/P2P1P1P/3b4/1P4PK/5q2 w - -,e7d5,Nd5,582,e7c6,0,knight,False,False,
rn2k2r/1p3ppp/p4n2/4p3/1b6/1NN3P1/PP1BPPbP/R4RK1 w kq -,g1g2,Kxg2,35,f1d1,-376,king,True,False,
8/8/7k/5K2/5p2/5P2/1b6/6R1 b - -,b2d4,Bd4,9605,b2a3,20000,bishop,False,False,
6K1/8/p2p1k2/P1pPp3/2P1P3/2P5/8/8 b - -,f6g5,Kg5,3416,f6g6,4301,king,False,False,
r2q1b1r/ppp1k1pp/2B1b3/4p3/8/5Q2/PPPP1PPP/RNB1K2R b KQ -,b7c6,bxc6,290,d8d6,559,pawn,True,False,
8/8/p7/P1KPp3/2P2k2/2P5/8/8 b - -,e5e4,e4,933,f4g3,4296,pawn,False,False,
r1b2r2/ppp1q1kp/2n3p1/4Np1N/2BPn3/7R/P4PPP/3Q1RK1 b - -,g7h8,Kh8,247,g7h6,533,king,False,False,
r1bq1b1r/pppn2pp/6k1/3p4/3Pn1Q1/3B4/PPP2PPP/RNB1K2R b KQ -,g6f7,Kf7,0,g6f6,406,king,False,False,
6k1/2R5/4K3/8/5p2/4bP2/8/8 w - -,c7f7,Rf7,20000,e6f6,9605,rook,False,False,
2r1q1k1/5pbp/6p1/1p1Q2P1/1PP1B2P/5R2/8/1K6 w - -,f3a3,Ra3,-105,b1c2,-457,rook,False,False,
8/8/b1n5/4k3/4P1K1/8/8/8 b - -,c6d4,Nd4,-381,c6d8,-278,knight,False,False,
r2qk1nr/1p3ppp/p1pb4/4P3/4P3/5Q2/PP3PPP/RNB2RK1 b kq -,d6e5,Bxe5,29,d6c7,153,bishop,True,False,1
r6r/pQ1q1ppp/p2kpn2/2Pp4/6b1/2P1PN2/PP1N1PPP/R3K2R b KQ -,d6e7,Ke7,320,d6c5,721,king,False,False,
rn1qkb1r/pp1b1ppp/4Pn2/1Bp5/4pB2/2N5/PPP2PPP/R2QK1NR b KQkq -,f7e6,fxe6,31,d7b5,242,pawn,True,False,
rnbq1rk1/pp3Npp/2p2n2/2b5/2BpP3/8/PPP3PP/RNBQ1RK1 b - -,d8e7,Qe7,-67,d4d3,33,queen,False,False,
3r1rk1/p3bppp/2bpPn2/q7/3BP3/1Bp5/PPP1Q1PP/1K1R1R2 w - -,f1f6,Rxf6,176,e6f7,56,rook,True,False,5
1r3qk1/5p2/6p1/4Q3/3P4/R3P1P1/5P1K/8 b - -,b8b2,Rb2,12,b8b1,354,rook,False,False,
rnb1kb1r/pp2pppp/5n2/3q4/2BP4/2P5/PP1N1PPP/R1BQK1NR b KQkq -,d5g2,Qxg2,52,d5d8,258,queen,True,False,3
5qk1/R4p2/6p1/4Q3/3P4/4P1P1/1r3P1K/8 b - -,b2f2,Rxf2+,0,b2b6,412,rook,True,True,4
4b3/4k3/4p1p1/p2pP1Kp/3P3P/P5P1/1N6/8 b - -,e7f7,Kf7,578,e8b5,736,king,False,False,
3q2k1/1r1P1pp1/8/1p2B1p1/2pQ2P1/3nR2P/1P3PK1/8 w - -,e5c7,Bc7,1112,e5g7,0,bishop,False,False,
2kr3r/2p2ppp/p5q1/4Pn2/1Qp1NP2/2Pp4/P5PP/1R3RK1 w - -,e5e6,e6,652,b4b7,405,pawn,False,False,
1r4k1/1p3p2/n1p1B1p1/8/6P1/1P4N1/PK3P2/4R3 b - -,f7e6,fxe6,126,b8e8,227,pawn,True,False,
rn1qkb1r/ppp1pppp/5n2/1b1P4/8/2N5/PPPP1PPP/R1BQK1NR w KQkq -,c3b5,Nxb5,-4,d2d3,-378,knight,True,False,
r3k3/ppp1qprp/5b2/nP6/2p5/2N2N1b/PB2QPPP/3R1RK1 w q -,c3e4,Ne4,200,e2e7,-7,knight,False,False,
8/8/2k5/8/2B5/8/8/4K1N1 w - -,g1f3,Nf3,20000,e1d2,9605,knight,False,False,
3r1rk1/p3bPpp/2bp1n2/q7/3BP3/1Bp5/PPP1Q1PP/1K1R1R2 b - -,g8h8,Kh8,147,f8f7,544,king,False,False,
r1bqkb1r/pppp1ppp/2n5/4p3/2BP4/2n2N2/PPP2PPP/R1BQK2R w KQkq -,b2c3,bxc3,-87,c4f7,-317,pawn,True,False,
5k2/PR3p1p/3np3/1B4r1/8/8/1P5P/7K b - -,d6b5,Nxb5,8192,h7h6,6092,knight,True,False,
r2q1rk1/2p1bppp/p1n5/1p2Pb2/3N4/1PPpB3/1P3PPP/RB1Q1RK1 b - -,c6d4,Nxd4,9,f5e4,169,knight,True,False,
rnbqkbnr/ppp2p1p/8/4p3/4P1p1/5N1P/PPPP2P1/RNBQKB1R w KQkq -,h3g4,hxg4,19,f1b5,-257,pawn,True,False,
5k2/6R1/5K2/8/5p2/5P2/8/4b3 w - -,g7f7,Rf7+,20000,g7c7,9605,rook,False,True,
2k2R2/1pp5/8/4r3/2P3r1/2K5/8/8 b - -,c8d7,Kd7,-763,e5e8,-8,king,False,False,
r1bqkb1r/pp1n1p2/2p1pn1p/3p2p1/2PP3B/2N1PN2/PP3PPP/R2QKB1R w KQkq -,h4g3,Bg3,33,c4d5,-204,bishop,False,False,
r3k3/ppp1qprp/5b2/nP6/2p1N3/5N1b/PB2QPPP/3R1RK1 b q -,g7g2,Rxg2+,215,f6b2,366,rook,True,True,5
rnbq1r1k/pp3Bpp/2p2n2/2b3N1/3pP3/8/PPP3PP/RNBQ1RK1 w - -,e4e5,e5,267,b1d2,8,pawn,False,False,
2r3r1/2p1k3/1p1p1p2/p1NPpP2/P1P1P2p/1PR3pP/4R1K1/8 b - -,b6c5,bxc5,-206,d6c5,-97,pawn,True,False,
rnbqkb1r/pp1pnpp1/4p2p/6B1/4P3/2N2N2/PP3PPP/R2QKB1R w KQkq -,c3b5,Nb5,298,g5e3,15,knight,False,False,
2r2k2/5ppp/1R3n2/pp6/8/PpN4P/1P3PP1/5K2 b - -,b5b4,b4,-308,c8c3,-53,pawn,False,False,
rnbqkbnr/pp2pp2/7p/2Pp2p1/7B/8/PPP1PPPP/RN1QKBNR w KQkq -,h4g3,Bg3,-26,d1d4,-131,bishop,False,False,
r1q2rk1/p1p3pp/2pb1n2/3p2B1/2P1b3/1B6/PP3PPP/RN1Q1RK1 w - -,b1c3,Nc3,0,b1d2,-110,knight,False,False,
r3k1r1/ppp1qp1p/8/nP6/2p1N3/5N1b/PQ3P1P/3R1R1K w q -,e4f6,Nf6+,400,f1g1,110,knight,False,True,
rnbqkb1r/pp1pnpp1/4p2p/1N4B1/4P3/5N2/PP3PPP/R2QKB1R b KQkq -,d7d5,d5,278,d8b6,381,pawn,False,False,
6k1/5pP1/R7/8/3r3N/6P1/1r4PK/8 w - -,h4f5,Nf5,1451,a6a8,433,knight,False,False,
3r2k1/p5pp/bp3p2/3p4/3Q2n1/1P2P1Pq/PB1N1P1P/4R1K1 w - -,d2f3,Nf3,-39,d4g4,-592,knight,False,False,
r2qk2r/pp2b1pp/2pp1n1B/8/2BQ4/2N5/PPb2PPP/R3R1K1 b kq -,e8f8,Kf8,275,g7h6,487,king,False,False,
rnb1kb1r/pp3ppp/2p2n2/q3P3/4N3/3Q4/PPP2PPP/R1B1KBNR w KQkq -,c1d2,Bd2,132,e4c3,14,bishop,False,False,
rnb1kb1r/pp3ppp/2p2n2/q3P3/4N3/3Q4/PPPB1PPP/R3KBNR b KQkq -,a5e5,Qxe5,148,a5d5,504,queen,True,False,4
r1q2rk1/p1p3pp/2pb4/3p2B1/2P3n1/1BN2b2/PP4PP/R2Q1RK1 w - -,f1f3,Rxf3,0,g2f3,-361,rook,True,False,2
rnb1kb1r/pppq1ppp/8/3pP3/4N3/5N2/PPP2PPP/R1BQKB1R b KQkq -,d5e4,dxe4,12,b8c6,442,pawn,True,False,
rnb1kb1r/pp3ppp/2p2n2/4q3/4N3/3Q4/PPPB1PPP/R3KBNR w KQkq -,e1a1,O-O-O,116,f2f3,-5,king,False,False,
rnbqkb1r/pp2pppp/2p5/3pP2n/3P1P2/8/PPP3PP/RNBQKBNR b KQkq -,g7g6,g6,53,d8a5,282,pawn,False,False,
r3k1r1/ppp2p1p/5q2/nP6/2p5/5N1b/PQ3P1P/3R1R1K w q -,f1e1,Rfe1+,411,b2e2,-590,rook,False,True,
rnbq1rk1/pp3ppp/2p2n2/2b3N1/2B1P3/3p4/PPP3PP/RNBQ1R1K w - -,e4e5,e5,286,c4f7,131,pawn,False,False,
r1q2rk1/p1p3pp/2pb4/3p2B1/2P5/1BN2P2/PP5n/R2Q1RK1 w - -,c4c5,c5,-366,f3f4,-515,pawn,False,False,
r1bqk1nr/pppp2pp/2n5/4p3/1bB5/5N2/PB3PPP/RN1Q1RK1 w kq -,f3e5,Nxe5,212,d1b3,92,knight,True,False,
r1b1kbnr/pp3ppp/1qn1p3/3p4/3pP3/1PN1BN2/P1P2PPP/R2QKB1R w KQkq -,c3a4,Na4,-88,f3d4,-261,knight,False,False,
8/5p1k/5R2/5N2/3P4/6P1/1r4rK/8 w - -,h2h3,Kh3,0,h2h1,-1433,king,False,False,
r2q1b1r/ppp1k1pp/4bn2/3p4/3PP3/3B4/PPP1Q1PP/RNB1K2R b KQ -,d5e4,dxe4,7,e6g4,171,pawn,True,False,
8/R7/Pr2k3/4pp2/8/4KP2/8/8 w - -,a7a8,Ra8,496,e3d2,0,rook,False,False,
rnb1kb1r/3n1ppp/p3p3/1p2q1B1/3N4/2N5/PPP1Q1PP/2KR1B1R w kq -,e2e5,Qxe5,384,d4e6,257,queen,True,False,3
r1b1k2r/pppp2pp/8/2b1qp2/2BPn3/8/PP2QPPP/RNB1R1K1 b kq -,c5d4,Bxd4,280,e5d4,454,bishop,True,False,1
rnbqkbnr/ppp1p1pp/8/3p4/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -,d1h5,Qh5+,142,f2f3,-1,queen,False,True,
